красногвардейская,0.11602130416006909
депо,0.06693536778465525
братиславская,0.04803032484045871
котельники,0.045679190058058636
жулебино,0.03454728659853174
зябликово,0.030468787486205077
битца,0.0154023319418454
опалиха,0.013962861666906579
каширская,0.013722949954416775
домодедовская,0.012571373734465716
зил,0.010700062377045247
варшавская,0.009452521472098269
аминьевская,0.009020680389616622
минская,0.00887673336212274
коммунарка,0.008109015882155367
народное ополчение,0.007869104169665563
смоленская,0.007293316059690034
улица 1905 года,0.007245333717192074
алма-атинская,0.00700542200470227
шелепиха,0.006909457319706348
некрасовка,0.006765510292212466
перерва,0.006525598579722662
аннино,0.006093757497241016
панфиловская,0.006045775154743055
селигерская,0.006045775154743055
отрадное,0.0057098987572573295
прокшино,0.0057098987572573295
павшино,0.005613934072261408
бунинская аллея,0.005374022359771604
динамо,0.005374022359771604
кантемировская,0.005230075332277722
маяковская,0.005230075332277722
фили,0.005182092989779761
арбатская,0.005182092989779761
давыдково,0.005086128304783839
ломоносовский проспект,0.005086128304783839
раменки,0.004942181277289957
спортивная,0.004894198934791996
белорусская,0.004894198934791996
щелковская,0.004798234249796075
аэропорт,0.004750251907298115
преображенская площадь,0.004558322537306272
павелецкая,0.004414375509812389
строгино,0.004174463797322585
бутово,0.0041264814548246246
люблино,0.004078499112326664
кропоткинская,0.004030516769828703
фрунзенская,0.0039345520848327814
киевская,0.0038865697423348207
новаторская,0.00383858739983686
парк культуры,0.00383858739983686
ботанический сад,0.003790605057338899
электрозаводская,0.0037426227148409387
тульская,0.003694640372342978
академическая,0.0035986756873470564
беломорская,0.0035986756873470564
медведково,0.0035986756873470564
царицыно,0.0035506933448490956
бульвар рокоссовского,0.003502711002351135
новогиреево,0.003454728659853174
калитники,0.003454728659853174
красный балтиец,0.0033587639748572525
новокузнецкая,0.0033587639748572525
октябрьское поле,0.0033107816323592917
мичуринский проспект,0.003262799289861331
солнцево,0.003262799289861331
рассказовка,0.00321481694736337
серпуховская,0.0031668346048654094
алексеевская,0.0031188522623674486
красногорская,0.003070869919869488
ольховая,0.0030228875773715275
бауманская,0.0030228875773715275
профсоюзная,0.0030228875773715275
славянский бульвар,0.0029749052348735667
молодежная,0.0029749052348735667
беговая,0.002926922892375606
ясенево,0.002878940549877645
автозаводская,0.0028309582073796843
яхромская,0.0028309582073796843
технопарк,0.0028309582073796843
хорошево,0.0027829758648817236
окружная,0.0027829758648817236
новослободская,0.0027829758648817236
говорово,0.0027349935223837628
покровское,0.0027349935223837628
юго-западная,0.0027349935223837628
нижегородская,0.002687011179885802
бабушкинская,0.0026390288373878412
шаболовская,0.0026390288373878412
пятницкое шоссе,0.0026390288373878412
кунцевская,0.0026390288373878412
филатов луг,0.0026390288373878412
дмитровская,0.0025910464948898804
щукинская,0.002495081809893959
бибирево,0.002495081809893959
деловой центр,0.002447099467395998
улица скобелевская,0.002447099467395998
китай-город,0.0023991171248980373
тушинская,0.0023991171248980373
выставочная,0.002351134782400077
зюзино,0.002351134782400077
курская,0.002351134782400077
щербинка,0.002303152439902116
рабочий посёлок,0.002303152439902116
тропарево,0.0022551700974041554
сокол,0.0022551700974041554
текстильщики,0.0022551700974041554
новопеределкино,0.0022551700974041554
водный стадион,0.0022071877549061946
университет,0.0022071877549061946
сетунь,0.002159205412408234
кузьминки,0.002159205412408234
тверская,0.002159205412408234
гражданская,0.002159205412408234
выхино,0.002111223069910273
озёрная,0.002111223069910273
рязанский проспект,0.0020632407274123123
пенягино,0.0020632407274123123
саларьево,0.0020632407274123123
нагорная,0.0020632407274123123
третьяковская,0.0019672760424163907
коптево,0.0019672760424163907
крылатское,0.00191929369991843
ростокино,0.00191929369991843
беляево,0.00191929369991843
первомайская,0.00191929369991843
полянка,0.0018713113574204694
марьино,0.0018713113574204694
перово,0.0018713113574204694
сходненская,0.0018233290149225086
вднх,0.0018233290149225086
парк победы,0.0018233290149225086
трикотажная,0.0018233290149225086
стрешнево,0.0018233290149225086
авиамоторная,0.0017753466724245478
чистые пруды,0.001727364329926587
новые черемушки,0.001727364329926587
курьяново,0.001727364329926587
шипиловская,0.001727364329926587
таганская,0.001727364329926587
чкаловская,0.001727364329926587
цска,0.0016793819874286263
речной вокзал,0.0016793819874286263
планерная,0.0016793819874286263
проспект вернадского,0.0016313996449306655
бескудниково,0.0016313996449306655
марьина роща,0.0016313996449306655
юго-восточная,0.0016313996449306655
петровский парк,0.0015834173024327047
митино,0.0015834173024327047
спартак,0.0015834173024327047
коломенская,0.001535434959934744
стахановская,0.001535434959934744
улица старокачаловская,0.001535434959934744
сухаревская,0.001535434959934744
хорошёвская,0.001535434959934744
зорге,0.001535434959934744
сокольники,0.0014874526174367833
чертановская,0.0014874526174367833
мякинино,0.0014394702749388226
лужники,0.0014394702749388226
угрешская,0.0014394702749388226
охотный ряд,0.0014394702749388226
фонвизинская,0.0014394702749388226
лесопарковая,0.0014394702749388226
чеховская,0.0013914879324408618
крымская,0.0013914879324408618
сретенский бульвар,0.0013914879324408618
москворечье,0.001343505589942901
калужская,0.001343505589942901
международная,0.001343505589942901
красные ворота,0.001343505589942901
пражская,0.001343505589942901
лианозово,0.001343505589942901
нагатинская,0.0012955232474449402
дубровка,0.0012955232474449402
улица горчакова,0.0012955232474449402
окская,0.0012955232474449402
алтуфьево,0.0012955232474449402
тестовская,0.0012955232474449402
владыкино,0.0012955232474449402
локомотив,0.0012955232474449402
хорошёво,0.0012475409049469794
ховрино,0.0012475409049469794
ленинский проспект,0.0012475409049469794
свиблово,0.0012475409049469794
баррикадная,0.0011995585624490187
москва-товарная,0.0011995585624490187
студенческая,0.001151576219951058
борисово,0.001151576219951058
савеловская,0.001151576219951058
рижская,0.001151576219951058
верхние котлы,0.001151576219951058
кожуховская,0.0011035938774530973
бульвар дмитрия донского,0.0011035938774530973
площадь ильича,0.0010556115349551365
печатники,0.0010556115349551365
трубная,0.0010556115349551365
терехово,0.0010556115349551365
тургеневская,0.0010076291924571758
бутырская,0.0010076291924571758
коньково,0.0010076291924571758
новокосино,0.0010076291924571758
физтех,0.0010076291924571758
южная,0.0010076291924571758
балтийская,0.000959646849959215
достоевская,0.000959646849959215
багратионовская,0.000959646849959215
цветной бульвар,0.000959646849959215
теплый стан,0.000959646849959215
соколиная гора,0.000959646849959215
полежаевская,0.000959646849959215
аникеевка,0.000959646849959215
улица академика янгеля,0.0009116645074612543
силикатная,0.0009116645074612543
пушкинская,0.0009116645074612543
верхние лихоборы,0.0009116645074612543
проспект мира,0.0009116645074612543
пролетарская,0.0009116645074612543
орехово,0.0009116645074612543
волжская,0.0008636821649632935
войковская,0.0008636821649632935
красносельская,0.0008636821649632935
измайловская,0.0008636821649632935
комсомольская,0.0008636821649632935
улица дмитриевского,0.0008156998224653327
савёловская,0.0008156998224653327
тимирязевская,0.0008156998224653327
лухмановская,0.000767717479967372
дегунино,0.000767717479967372
волоколамская,0.000767717479967372
краснопресненская,0.000767717479967372
менделеевская,0.000767717479967372
пыхтино,0.000767717479967372
волгоградский проспект,0.0007197351374694113
добрынинская,0.0007197351374694113
нагатинский затон,0.0007197351374694113
лефортово,0.0006717527949714505
кленовый бульвар,0.0006717527949714505
бульвар адмирала ушакова,0.0006717527949714505
лихоборы,0.0006717527949714505
красный строитель,0.0006717527949714505
измайлово,0.0006717527949714505
воронцовская,0.000575788109975529
молодёжная,0.000575788109975529
аэропорт внуково,0.000575788109975529
семеновская,0.000575788109975529
лермонтовский проспект,0.0005278057674775683
шоссе энтузиастов,0.0005278057674775683
октябрьская,0.0005278057674775683
внуково,0.0005278057674775683
нахимовский проспект,0.0005278057674775683
новодачная,0.0005278057674775683
кутузовская,0.0005278057674775683
боровское шоссе,0.0005278057674775683
черкизовская,0.0005278057674775683
севастопольская,0.0004798234249796075
белокаменная,0.0004798234249796075
карамышевская,0.0004798234249796075
филёвский парк,0.0004798234249796075
каховская,0.00043184108248164676
римская,0.00043184108248164676
боровицкая,0.000383858739983686
марксистская,0.000383858739983686
марьина роща (шереметьевская),0.000383858739983686
остафьево,0.000383858739983686
воробьёвы горы,0.000383858739983686
мнёвники,0.00033587639748572525
крестьянская застава,0.00033587639748572525
филевский парк,0.00033587639748572525
новые черёмушки,0.00033587639748572525
румянцево,0.00033587639748572525
кузнецкий мост,0.0002878940549877645
новоясеневская,0.0002878940549877645
площадь гагарина,0.0002878940549877645
пионерская,0.0002878940549877645
тропарёво,0.0002878940549877645
зеленоград — крюково,0.00023991171248980374
площадь революции,0.00023991171248980374
нахабино,0.00023991171248980374
новоподрезково,0.00023991171248980374
варшавская (коломенское),0.00023991171248980374
битцевский парк,0.000191929369991843
щёлковская,0.000191929369991843
библиотека им. ленина,0.000191929369991843
новохохловская,0.000191929369991843
косино,0.000191929369991843
андроновка,0.000191929369991843
тёплый стан,0.00014394702749388226
немчиновка,0.00014394702749388226
матвеевская,0.00014394702749388226
библиотека и ленина,0.00014394702749388226
театральная,0.00014394702749388226
очаково,9.59646849959215e-05
александровский сад,9.59646849959215e-05
петровско-разумовская,9.59646849959215e-05
марк,9.59646849959215e-05
сколково,4.798234249796075e-05
долгопрудная,4.798234249796075e-05
санино,4.798234249796075e-05
терехово (мнёвники),4.798234249796075e-05
лубянка,4.798234249796075e-05
хлебниково,4.798234249796075e-05
вешняки,4.798234249796075e-05
улица академика королёва,4.798234249796075e-05
партизанская,4.798234249796075e-05
воробьевы горы,4.798234249796075e-05
выставочный центр,4.798234249796075e-05
подольск,4.798234249796075e-05
семёновская,4.798234249796075e-05
